UTUR,UTPCPI,UTSTHPI,DATE,MEHOINUSUTA672N,UTRVAC
5.7,12053,119.15,1/1/1986,59421,21.5
6.7,12511,119.24,1/1/1987,57987,21.5
5.5,13218,112.79,1/1/1988,55509,25.8
4.6,14050,113.36,1/1/1989,62085,10.6
4.5,15010,116.45,1/1/1990,58060,12.6
4.6,15656,122.55,1/1/1991,52071,14.9
4.9,16401,129.6,1/1/1992,62115,14.6
4.5,17115,140.34,1/1/1993,63302,15.7
3.7,17933,161.83,1/1/1994,61886,7.1
3.6,19019,184.34,1/1/1995,61723,12.3
3.4,20183,204.62,1/1/1996,61041,13.4
3.3,21288,217.92,1/1/1997,69005,14.4
3.4,22266,229.99,1/1/1998,70508,14.6
3.6,23081,237.94,1/1/1999,71767,10.1
3.1,24260,236.44,1/1/2000,71673,7.6
3.8,24925,247.67,1/1/2001,69384,7.2
5.2,25190,250.62,1/1/2002,69056,6.5
5.8,25792,255.25,1/1/2003,69518,8.2
5.3,27018,259.61,1/1/2004,69881,8.9
4.5,28927,275.53,1/1/2005,72829,7
3.4,31327,314.95,1/1/2006,70305,5.7
2.4,33165,366.6,1/1/2007,66990,5.5
2.8,33941,382.2,1/1/2008,75369,7.4
6.1,31858,360.95,1/1/2009,70738,8.3
8,32226,323.64,1/1/2010,67461,7.2
7.8,34232,305.77,1/1/2011,64006,6.4
5.3,36085,305.3,1/1/2012,65895,7.7
4.5,36628,318.24,1/1/2013,67945,6.7
3.8,38328,341.29,1/1/2014,69370,8.6
3.6,40668,359.16,1/1/2015,72392,5.1
3.5,42008,382.87,1/1/2016,72789,5.7
3.2,43711,412.49,1/1/2017,73694,6.2
3,46377,451.13,1/1/2018,79443,5.4
2.8,49115,490.14,1/1/2019,85578,3.8
2.4,52204,522.38,1/1/2020,83670,5.3
