Table Names-4,Table Names-2,Table Names-1,Table Names,Table Names-3,UTUR,UTPCPI,UTSTHPI,MEHOINUSUTA672N,UTRVAC,UTPCE,2020RATIO049035,ACTLISCOUYY49049,MEDLISPRIPERSQUFEEMM49049,BRUT49M647NCEN,MEDDAYONMAR41620,ACTLISCOU49035,UTBPPRIVSA,GCT1502UT,NETMIGNACS049049,S1101SPHOUSE049035,MHIUT49035A052NCEN,EXHOSLUSM495S,UTNQGSP,UTPOP,DATE
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,548,,,,,,,,,,,,,,,,,,,1/1/1929
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,494,,,,,,,,,,,,,,,,,,,1/1/1930
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,372,,,,,,,,,,,,,,,,,,,1/1/1931
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,304,,,,,,,,,,,,,,,,,,,1/1/1932
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,297,,,,,,,,,,,,,,,,,,,1/1/1933
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,314,,,,,,,,,,,,,,,,,,,1/1/1934
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,391,,,,,,,,,,,,,,,,,,,1/1/1935
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,463,,,,,,,,,,,,,,,,,,,1/1/1936
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,447,,,,,,,,,,,,,,,,,,,1/1/1937
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,446,,,,,,,,,,,,,,,,,,,1/1/1938
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,460,,,,,,,,,,,,,,,,,,,1/1/1939
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,484,,,,,,,,,,,,,,,,,,,1/1/1940
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,600,,,,,,,,,,,,,,,,,,,1/1/1941
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,907,,,,,,,,,,,,,,,,,,,1/1/1942
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1164,,,,,,,,,,,,,,,,,,,1/1/1943
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1078,,,,,,,,,,,,,,,,,,,1/1/1944
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1153,,,,,,,,,,,,,,,,,,,1/1/1945
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1121,,,,,,,,,,,,,,,,,,,1/1/1946
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1196,,,,,,,,,,,,,,,,,,,1/1/1947
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1287,,,,,,,,,,,,,,,,,,,1/1/1948
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1295,,,,,,,,,,,,,,,,,,,1/1/1949
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1391,,,,,,,,,,,,,,,,,,,1/1/1950
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1600,,,,,,,,,,,,,,,,,,,1/1/1951
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1657,,,,,,,,,,,,,,,,,,,1/1/1952
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1667,,,,,,,,,,,,,,,,,,,1/1/1953
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1640,,,,,,,,,,,,,,,,,,,1/1/1954
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1738,,,,,,,,,,,,,,,,,,,1/1/1955
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1835,,,,,,,,,,,,,,,,,,,1/1/1956
"UTUR.csv,UTSTHPI.csv,UTPCPI.csv,NETMIGNACS049049.csv,MEHOINUSUTA672N.csv,UTRVAC.csv,S1101SPHOUSE049035.csv,GCT1502UT.csv","UTUR.csv,UTSTHPI.csv,UTPCPI.csv,UTRVAC.csv","UTSTHPI.csv,UTPCPI.csv",UTPCPI.csv,,,1950,,,,,,,,,,,,,,,,,,,1/1/1957
