Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Median_Income,Rental_Vac_Rate,Consumption_HH,Income_Ineq_SL,Active_List_UT_County,Med_Price_Per_SQF,SNAP,Med_Days_Mkt,Active_List_SL,Housing_Auth,Educ_Attain,Net_Mig_Flow_UT_County,Percent_Single,Med_Income_SL,GDP,Population
5.8,5866,27760,61.49,,,,,,,,,,,,,,,,1274.928
5.8,6002.5,27851,61.28,,,,,,,,,,,,,,,,1286.074
5.5,6139,27942,64.65,,,,,,,,,,,,,,,,1297.22
5.4,6275.5,28034,64.01,,,,,,,,,,,,,,,,1308.366
5.5,6412,28126,69.68,,,,,,,,,,,,,,,,1319.512
5.4,6548.5,28216,70.75,,,,,,,,,,,,,,,,1330.658
5.2,6685,28307,74.74,,,,,,,,,,,,,,,,1341.804
4.9,6821.5,28399,75.09,,,,,,,,,,,,,,,,1352.95
4.6,7119,28491,81.5,,,,,,,,,,,,,,,,1367.51
4,7255.5,28581,84.03,,,,,,,,,,,,,,,,1378.656
3.6,7392,28672,87.23,,,,,,,,,,,,,,,,1389.802
3.6,7528.5,28764,90.13,,,,,,,,,,,,,,,,1400.948
3.7,7748,28856,94.6,,,,,,,,,,,,,,,,1420.238
4.1,7884.5,28946,97.54,,,,,,,,,,,,,,,,1431.384
4.6,8021,29037,97.98,,,,,,,,,,,,,,,,1442.53
4.8,8157.5,29129,99.69,,,,,,,,,,,,,,,,1453.676
5.2,8366,29221,100,,,,,,,,,,,,,,,,1472.595
6,8502.5,29312,98.34,,,,,,,,,,,,,,,,1483.741
6.6,8639,29403,103.64,,,,,,,,,,,,,,,,1494.887
6.8,8775.5,29495,104.72,,,,,,,,,,,,,,,,1506.033
6.6,9167,29587,106.13,,,,,,,64318,,,,,,,,,1515.471
6.5,9303.5,29677,109.75,,,,,,,67532,,,,,,,,,1526.617
6.5,9440,29768,108.37,,,,,,,66007,,,,,,,,,1537.763
6.8,9576.5,29860,110.41,,,,,,,63310,,,,,,,,,1548.909
7.2,9669,29952,106.68,,,,,,,65351,,,,,,,,,1558.314
7.5,9805.5,30042,108.79,,,,,,,70374,,,,,,,,,1569.46
8,9942,30133,111.84,,,,,,,74298,,,,,,,,,1580.606
8.9,10078.5,30225,113.89,,,,,,,80294,,,,,,,,,1591.752
9.6,10116,30317,114.27,,,,,,,90347,,,,,,,,,1594.943
9.8,10252.5,30407,115.33,,,,,,,94134,,,,,,,,,1601.79275
9.2,10389,30498,111.56,,,,,,,88352,,,,,,,,,1608.6425
8.2,10525.5,30590,112.63,,,,,,,81968,,,,,,,,,1615.49225
7.3,10984,30682,112.15,,,,,,,82830,,,,,,,,,1622.342
6.7,11120.5,30773,114.06,,,,,,,82191,,,,,,,,,1629.19175
6.4,11257,30864,114.77,,,,,,,75379,,,,,,,,,1636.0415
6.3,11393.5,30956,112.11,,,,,,,71898,,,,,,,,,1642.89125
6.3,11607,31048,116.57,,,,,,,76872,,,,,,,,,1642.91
6.2,11743.5,31138,115.96,,,,,,,78612,,,,,,,,,1647.891
6.1,11880,31229,116.29,,,,,,,73578,,,,,,,,,1652.872
5.9,12016.5,31321,115.13,,,,,,,70981,,,,,,,,,1657.853
5.7,12053,31413,119.15,,21.5,,,,,75883,,,,,,,,,1662.834
5.9,12189.5,31503,118.86,,21.5,,,,,80629,,,,,,,,,1667.815
