Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Rental_Vac_Rate,Consumption_HH,SNAP,Med_Income_SL,Population
3.3,21288,1/1/97,217.92,14.4,37325.7,101750,44118,2065.397
3.1,21288,4/1/97,219.14,14.4,37325.7,97331,44118,2065.397
3.1,21288,7/1/97,223.41,14.4,37325.7,93796,44118,2065.397
3.1,21288,10/1/97,227.32,14.4,37325.7,92254,44118,2065.397
3.4,22266,1/1/98,229.99,14.6,39429.7,93733,45484,2100.562
3.6,22266,4/1/98,232.18,14.6,39429.7,93140,45484,2100.562
3.6,22266,7/1/98,234.41,14.6,39429.7,90618,45484,2100.562
3.6,22266,10/1/98,236.66,14.6,39429.7,89245,45484,2100.562
3.6,23081,1/1/99,237.94,10.1,41686.7,89932,46183,2129.836
3.6,23081,4/1/99,236.99,10.1,41686.7,89689,46183,2129.836
3.6,23081,7/1/99,234.29,10.1,41686.7,85890,46183,2129.836
3.4,23081,10/1/99,235.3,10.1,41686.7,83549,46183,2129.836
3.1,24260,1/1/00,236.44,7.6,44820.9,83532,48688,2244.502
3.2,24260,4/1/00,236.4,7.6,44820.9,82220,48688,2244.502
3.3,24260,7/1/00,238.9,7.6,44820.9,79159,48688,2244.502
3.5,24260,10/1/00,242.27,7.6,44820.9,79737,48688,2244.502
3.8,24925,1/1/01,247.67,7.2,46874.3,83350,48348,2283.715
4,24925,4/1/01,248.24,7.2,46874.3,79071,48348,2283.715
4.4,24925,7/1/01,248.45,7.2,46874.3,77598,48348,2283.715
4.8,24925,10/1/01,251.05,7.2,46874.3,83038,48348,2283.715
5.2,25190,1/1/02,250.62,6.5,49194.5,89731,47892,2324.815
5.6,25190,4/1/02,250.11,6.5,49194.5,92404,47892,2324.815
5.8,25190,7/1/02,253.26,6.5,49194.5,92584,47892,2324.815
5.9,25190,10/1/02,254.59,6.5,49194.5,98227,47892,2324.815
5.8,25792,1/1/03,255.25,8.2,51832.4,101471,49076,2360.137
5.6,25792,4/1/03,256.19,8.2,51832.4,106510,49076,2360.137
5.6,25792,7/1/03,256.92,8.2,51832.4,109740,49076,2360.137
5.4,25792,10/1/03,257.11,8.2,51832.4,116290,49076,2360.137
5.3,27018,1/1/04,259.61,8.9,56035.9,122541,50420,2401.58
5.2,27018,4/1/04,262.05,8.9,56035.9,126362,50420,2401.58
5,27018,7/1/04,265.38,8.9,56035.9,125708,50420,2401.58
4.7,27018,10/1/04,270.57,8.9,56035.9,128628,50420,2401.58
4.5,28927,1/1/05,275.53,7,60621.2,132765,48398,2457.719
4.3,28927,4/1/05,284.27,7,60621.2,134549,48398,2457.719
4,28927,7/1/05,294.8,7,60621.2,134332,48398,2457.719
3.7,28927,10/1/05,304.56,7,60621.2,133959,48398,2457.719
3.4,31327,1/1/06,314.95,5.7,65910.3,134530,52951,2525.507
3.1,31327,4/1/06,328.18,5.7,65910.3,132534,52951,2525.507
2.8,31327,7/1/06,342.69,5.7,65910.3,127041,52951,2525.507
2.5,31327,10/1/06,355.72,5.7,65910.3,125734,52951,2525.507
2.4,33165,1/1/07,366.6,5.5,71138.3,128278,56378,2597.746
2.4,33165,4/1/07,375.57,5.5,71138.3,122640,56378,2597.746
2.6,33165,7/1/07,380.21,5.5,71138.3,121907,56378,2597.746
2.7,33165,10/1/07,383.16,5.5,71138.3,124276,56378,2597.746
2.8,33941,1/1/08,382.2,7.4,73868.2,130765,59168,2663.029
3,33941,4/1/08,376.07,7.4,73868.2,133033,59168,2663.029
3.2,33941,7/1/08,364.68,7.4,73868.2,139805,59168,2663.029
3.5,33941,10/1/08,363.85,7.4,73868.2,153727,59168,2663.029
6.1,31858,1/1/09,360.95,8.3,72526.6,169708,56954,2723.421
7,31858,4/1/09,347.27,8.3,72526.6,193588,56954,2723.421
7.4,31858,7/1/09,332.5,8.3,72526.6,205249,56954,2723.421
7.8,31858,10/1/09,328.61,8.3,72526.6,220130,56954,2723.421
8,32226,1/1/10,323.64,7.2,74655.6,232939,56664,2775.413
8,32226,4/1/10,318.97,7.2,74655.6,260723,56664,2775.413
7.9,32226,7/1/10,321.7,7.2,74655.6,262628,56664,2775.413
7.9,32226,10/1/10,319.98,7.2,74655.6,271868,56664,2775.413
7.8,34232,1/1/11,305.77,6.4,78041.7,286598,56166,2814.797
7.7,34232,4/1/11,299.17,6.4,78041.7,283704,56166,2814.797
7.4,34232,7/1/11,304.66,6.4,78041.7,279293,56166,2814.797
6.2,34232,10/1/11,306.04,6.4,78041.7,285695,56166,2814.797
5.3,36085,1/1/12,305.3,7.7,81993,285527,58743,2854.146
4.8,36085,4/1/12,303.69,7.7,81993,280865,58743,2854.146
4.8,36085,7/1/12,310.09,7.7,81993,257736,58743,2854.146
4.6,36085,10/1/12,315.44,7.7,81993,257744,58743,2854.146
4.5,36628,1/1/13,318.24,6.7,85430.1,261426,61716,2898.773
4.3,36628,4/1/13,327.2,6.7,85430.1,252378,61716,2898.773
4.2,36628,7/1/13,334.77,6.7,85430.1,241380,61716,2898.773
4,36628,10/1/13,339.18,6.7,85430.1,236449,61716,2898.773
3.8,38328,1/1/14,341.29,8.6,90175.4,228503,62536,2938.327
3.6,38328,4/1/14,347.66,8.6,90175.4,230361,62536,2938.327
3.6,38328,7/1/14,351.56,8.6,90175.4,225880,62536,2938.327
3.6,38328,10/1/14,355.62,8.6,90175.4,226927,62536,2938.327
3.6,40668,1/1/15,359.16,5.1,94726.6,227251,65549,2983.626
3.5,40668,4/1/15,365.08,5.1,94726.6,227497,65549,2983.626
